,avx,avy,avdxy,id,frame
0,421.6749140649749,233.79914986973807,9.045077567723224,1,404
1,684.0731684981686,237.92404354904357,8.425091084444308,2,404
2,940.4314285714285,239.57428571428574,7.844510109435063,3,404
3,455.2782539682539,237.93015059015062,8.863600655382527,4,404
11,542.8364102564103,238.23641025641027,8.578500170932497,5,404
12,312.7683333333333,238.90333333333336,8.033462558172474,8,404
13,365.23084656084654,239.1635978835979,8.121985127207617,9,404
14,380.08769599303133,238.81608885017422,8.177832940773822,10,404
15,483.7606100795756,239.65720601237845,7.956085216214733,11,404
23,496.6246491833448,238.12531631009892,8.138102243092916,12,404
24,599.4498325563325,239.33227097902096,8.939045185885472,14,404
25,640.6880245540312,239.30044199610384,8.877870446783525,15,404
26,341.92708545078114,239.2664003387916,8.237984824184876,21,404
27,658.3024630541872,240.65629447181172,8.759056860003385,26,404
28,300.0619396551724,242.3380172413793,7.9557696191780805,34,404
29,620.6969458128078,241.4753201970443,8.302095979505998,35,404
30,256.541921480818,243.18235467980293,8.030216210017876,41,404
31,270.3517014547754,244.23503651313894,7.934849680773146,42,404
32,330.0073990942317,243.34485638805023,8.197410339736969,43,404
33,470.6295865437245,242.9999330554503,8.518833738457726,45,404
37,285.94893227818994,243.92635774251048,8.240548875428413,53,404
38,354.5109115124977,244.59134063127166,8.064443540394752,59,404
39,410.25789014821277,244.82406277244985,8.406428158181594,60,404
47,1493.9846577227381,243.98937048503612,8.519633038517043,70,404
48,1532.8060215053763,245.1021505376344,8.64067432789041,74,404
50,434.18585776879,246.7947960903269,9.380234376810446,75,404
53,525.1876377365827,244.4914353772362,9.64455679273728,76,404
54,583.023798400339,248.4881158959691,8.333010886154806,79,404
58,673.986735930736,247.5257142857143,8.755940961629973,80,404
59,1568.1498746867169,247.84538619275463,8.758556782028572,83,404
62,392.72108191935774,250.1106732348112,8.539424365295202,84,404
63,541.5829543347828,250.82493890518086,7.963622978284242,86,404
69,559.6452767384637,249.29411509421243,8.607079695862554,87,404
77,460.18700025464733,250.89289533995415,8.243077096180414,91,404
85,1581.694466403162,248.9928853754941,8.349445241165085,92,404
90,612.6525952410381,253.84285555378992,8.381326357968188,98,404
91,626.3670671936759,254.45194202898546,8.133592470781672,104,404
92,639.4086445012788,254.75609207161125,8.157593597822668,105,404
93,934.7120879120879,257.2625641025641,6.144143471422526,109,404
94,1507.0148586552018,254.3092698148533,8.660385350024013,115,404
97,598.4049579831933,255.40521008403363,8.221275825302095,116,404
98,651.2018957692871,256.0308080808081,8.859613331468907,124,404
100,532.33,259.2896666666667,8.191931170477503,135,404
102,1553.345029239766,261.3982456140351,8.194991233984975,142,404
104,1572.7290628019323,260.38083677353245,8.351245907259273,143,404
106,1518.2444702093399,264.5906682769726,8.241259680701116,150,404
109,1544.037012987013,265.90821941216683,8.238416651975172,157,404
111,1532.4351332877648,268.6846889952153,8.370738403435865,162,404
112,1563.803716678059,271.0725250626566,8.361539544712372,164,404
114,1580.6791867954912,271.8984782608696,7.808005525517887,165,404
116,1541.3016774556713,300.2491500140726,4.427992155580444,168,404
117,1450.7631336405532,243.99707929445418,8.816558100325567,242,405
118,1471.2154761904762,248.13059523809525,9.035671821438447,254,405
121,1440.4674673202614,249.2475,8.784912308671567,262,405
122,1029.4362108479756,254.84686783804432,5.083532319572772,285,405
123,1243.1091353383458,249.69297770287784,9.969046198472173,287,405
124,1016.9245431987368,254.46753891270018,4.724807618890015,292,405
125,1133.7786708701135,256.7217116435477,7.963617662019827,293,405
126,1484.3029716069964,255.22364848773518,8.41055486956726,296,405
129,1463.2969841269842,258.5791005291005,8.718484089601578,308,405
131,1433.7910973084886,263.2512140033879,8.244928325515735,323,405
132,1445.7391907576427,264.7871177944862,8.129078577864881,325,405
134,1583.1212454212455,264.1600549450549,7.71608514376296,327,405
135,821.5763492063492,246.67370370370372,11.87326193211554,381,406
136,107.789520911813,242.29141215106733,7.785906967360059,383,406
138,1532.2019841269841,246.71388888888887,8.435344347121054,426,406
141,1576.416321105795,247.2157894736842,8.693292038976043,430,406
143,1118.3892631290278,254.8950016454134,7.062402725216561,456,406
144,1252.5266301458519,261.33300510829116,9.063798506690095,479,406
145,917.4729310344828,240.85339080459772,7.8622367807490825,537,407
146,1124.420168970814,242.27772657450078,8.720636390016905,540,407
147,1160.584752284752,242.40069745069746,8.897392338371139,547,407
150,1074.7467533370411,244.19555756395994,7.397522068765091,580,407
151,1100.7885997067447,252.70020039100686,7.7134894439864485,617,407
152,808.0831168831168,247.65175983436853,8.882047860935135,637,407
154,1342.9733862433864,265.63110052910054,9.906918117325342,640,407
155,1328.3930345596432,267.82552173913047,9.708230167627127,652,407
156,1074.6601731601731,263.41363636363633,6.946679565864786,660,407
157,1484.8879120879124,276.2620512820513,8.269049683132812,678,407
159,1105.899001610306,241.25380198789495,8.422735598009819,715,408
160,1141.9914391534392,241.10089947089946,7.974986416336114,716,408
161,1174.039156162465,243.18149859943978,7.63024873166046,733,408
164,1205.8005859228213,242.56844692152043,9.517929115420866,734,408
165,1188.5287650755042,243.53316610925307,8.119517389257867,742,408
166,471.6597357165573,248.7767992627063,8.167266667219899,762,408
173,1576.837271062271,247.20467032967036,8.737111344228708,765,408
174,1084.5210822510821,253.2260733384263,7.905508641724726,790,408
176,1186.9242028985507,255.87781159420288,8.782220205084762,808,408
177,1584.2005087505088,261.68606023606026,7.533967633905096,836,408
4,411.4133903133903,238.14940506116977,8.472802997030769,4,409
16,442.81571267696273,239.08818693693692,8.34748295370267,11,409
34,430.0068577106884,242.68234307508502,8.04852643402478,45,409
40,367.0331151407932,245.46428718855964,8.900778200707915,60,409
49,1489.3498003072195,245.0354874853167,8.404555572772711,74,409
51,390.44184829059833,245.60341524216523,8.531987611782439,75,409
55,541.5014635668591,248.36154585246078,8.14420426604918,79,409
60,1524.1045335968379,247.8981449275362,8.818558911364873,83,409
