,x,y,particle_id,frame_number
0,1004.875,23.125,0.0,1330
1,422.2857142857143,36.0,1.0,1330
5,33.921052631578945,264.05263157894734,5.0,1330
7,398.3636363636364,264.6818181818182,7.0,1330
9,857.1428571428571,265.4761904761905,9.0,1330
12,309.55555555555554,267.1777777777778,12.0,1330
13,461.28125,266.65625,13.0,1330
14,205.725,268.175,14.0,1330
15,557.3783783783783,267.4594594594595,15.0,1330
17,1453.3333333333333,268.125,17.0,1330
18,329.72222222222223,268.75,18.0,1330
19,481.69444444444446,269.05555555555554,19.0,1330
21,637.0,269.0,21.0,1330
22,588.6388888888889,269.8611111111111,22.0,1330
23,616.0833333333334,269.8611111111111,23.0,1330
24,740.875,268.875,24.0,1330
25,426.9117647058824,270.7647058823529,25.0,1330
26,573.4285714285714,271.0571428571429,26.0,1330
27,847.5,271.25,27.0,1330
28,346.71875,271.875,28.0,1330
29,538.3030303030303,271.6363636363636,29.0,1330
30,1238.1935483870968,272.06451612903226,30.0,1330
32,705.2162162162163,272.8918918918919,32.0,1330
35,1009.1904761904761,273.42857142857144,35.0,1330
37,230.0810810810811,276.2162162162162,37.0,1330
38,753.6363636363636,275.5151515151515,38.0,1330
39,805.0,276.13793103448273,39.0,1330
41,388.1714285714286,277.22857142857146,41.0,1330
42,891.75,277.28125,42.0,1330
43,1088.2727272727273,276.5,43.0,1330
44,14.421052631578947,277.57894736842104,44.0,1330
45,691.8888888888889,277.97222222222223,45.0,1330
46,725.5,277.4,46.0,1330
47,991.64,277.48,47.0,1330
48,1186.5,277.0,48.0,1330
50,262.3142857142857,279.37142857142857,50.0,1330
51,905.9,278.8,51.0,1330
52,1052.1935483870968,278.93548387096774,52.0,1330
53,819.6285714285714,279.51428571428573,53.0,1330
54,835.3409090909091,279.77272727272725,54.0,1330
55,671.0,281.0,55.0,1330
56,1208.12,280.56,56.0,1330
57,1222.2424242424242,281.72727272727275,57.0,1330
58,966.3793103448276,282.44827586206895,58.0,1330
59,979.8148148148148,283.037037037037,59.0,1330
60,1109.1333333333334,283.1333333333333,60.0,1330
61,1157.5853658536585,283.1219512195122,61.0,1330
62,1279.3181818181818,283.04545454545456,62.0,1330
63,1357.851851851852,282.74074074074076,63.0,1330
64,65.38095238095238,283.42857142857144,64.0,1330
66,510.3636363636364,283.5151515151515,66.0,1330
67,527.974358974359,283.6923076923077,67.0,1330
68,765.7647058823529,283.5,68.0,1330
69,931.5,283.4,69.0,1330
70,1313.2666666666667,283.5,70.0,1330
72,468.25581395348837,285.1162790697674,72.0,1330
73,577.6190476190476,285.07142857142856,73.0,1330
74,1032.057142857143,284.9142857142857,74.0,1330
75,1138.888888888889,284.6666666666667,75.0,1330
76,1439.6296296296296,285.0,76.0,1330
77,737.9117647058823,286.05882352941177,77.0,1330
78,1121.235294117647,285.8235294117647,78.0,1330
79,1370.5,285.6666666666667,79.0,1330
80,954.15625,287.125,80.0,1330
81,999.5384615384615,286.15384615384613,81.0,1330
82,212.53658536585365,288.2439024390244,82.0,1330
83,1071.4545454545455,287.6969696969697,83.0,1330
86,438.92105263157896,289.05263157894734,86.0,1330
87,563.6363636363636,288.4848484848485,87.0,1330
88,1504.5,288.5,88.0,1330
89,1413.962962962963,290.14814814814815,89.0,1330
90,1427.576923076923,290.0769230769231,90.0,1330
92,877.2666666666667,290.5,92.0,1330
93,1545.7142857142858,291.10714285714283,93.0,1330
94,36.333333333333336,291.74074074074076,94.0,1330
95,320.24242424242425,292.030303030303,95.0,1330
96,369.6296296296296,291.962962962963,96.0,1330
98,915.8,291.725,98.0,1330
99,1016.1304347826087,291.4782608695652,99.0,1330
100,1083.6666666666667,291.74074074074076,100.0,1330
101,1291.95,291.9,101.0,1330
102,1522.8695652173913,291.4782608695652,102.0,1330
104,92.82051282051282,293.1025641025641,104.0,1330
105,711.8888888888889,293.25,105.0,1330
106,1056.9310344827586,292.7241379310345,106.0,1330
107,1331.8695652173913,292.4782608695652,107.0,1330
109,52.81578947368421,293.57894736842104,109.0,1330
111,852.75,293.55555555555554,111.0,1330
112,1398.842105263158,293.8421052631579,112.0,1330
114,590.725,294.7,114.0,1330
115,625.0571428571428,294.8,115.0,1330
116,679.6176470588235,295.11764705882354,116.0,1330
117,792.4285714285714,294.9428571428571,117.0,1330
118,1174.6818181818182,294.8636363636364,118.0,1330
119,1342.8275862068965,295.13793103448273,119.0,1330
121,1479.1052631578948,294.57894736842104,121.0,1330
122,20.69047619047619,296.1666666666667,122.0,1330
123,245.52272727272728,295.97727272727275,123.0,1330
124,660.2894736842105,296.2105263157895,124.0,1330
125,981.081081081081,296.1081081081081,125.0,1330
126,1041.6206896551723,295.9655172413793,126.0,1330
127,1131.107142857143,295.82142857142856,127.0,1330
128,1449.7878787878788,295.7878787878788,128.0,1330
129,773.3157894736842,296.60526315789474,129.0,1330
131,110.71794871794872,297.6666666666667,131.0,1330
132,183.18421052631578,297.7105263157895,132.0,1330
133,421.71875,297.875,133.0,1330
134,903.0,297.3333333333333,134.0,1330
135,1203.2666666666667,297.5,135.0,1330
137,1191.0,299.4,137.0,1330
138,299.05405405405406,299.72972972972974,138.0,1330
139,454.46666666666664,300.1333333333333,139.0,1330
140,536.1935483870968,299.9032258064516,140.0,1330
142,726.0,299.5,142.0,1330
143,934.025641025641,300.0769230769231,143.0,1330
144,1492.8666666666666,299.46666666666664,144.0,1330
145,1256.8387096774193,301.1290322580645,145.0,1330
146,1303.8333333333333,300.7916666666667,146.0,1330
147,551.2307692307693,301.5,147.0,1330
148,649.7777777777778,301.5,148.0,1330
149,820.7368421052631,302.3157894736842,149.0,1330
150,864.0357142857143,301.67857142857144,150.0,1330
151,949.12,301.56,151.0,1330
154,1214.6285714285714,301.51428571428573,154.0,1330
156,208.17142857142858,303.1714285714286,156.0,1330
157,615.1333333333333,303.1333333333333,157.0,1330
158,1113.945945945946,303.13513513513516,158.0,1330
159,1355.0,303.0,159.0,1330
160,1399.2608695652175,302.95652173913044,160.0,1330
162,889.0,303.5,162.0,1330
163,1098.361111111111,303.55555555555554,163.0,1330
164,1241.7058823529412,304.05882352941177,164.0,1330
166,360.4390243902439,304.7560975609756,166.0,1330
167,472.0,304.5263157894737,167.0,1330
168,485.77777777777777,304.5,168.0,1330
169,745.3870967741935,304.5483870967742,169.0,1330
170,1269.2727272727273,304.8484848484849,170.0,1330
172,1008.3529411764706,305.6470588235294,172.0,1330
174,1518.391304347826,305.4347826086956,174.0,1330
175,1534.8333333333333,306.27777777777777,175.0,1330
177,702.5142857142857,307.1142857142857,177.0,1330
178,994.34375,306.78125,178.0,1330
179,1458.8181818181818,307.1515151515151,179.0,1330
180,373.64,307.48,180.0,1330
181,1038.9142857142858,308.2857142857143,181.0,1330
182,791.0322580645161,309.80645161290323,182.0,1330
185,1409.0666666666666,309.93333333333334,185.0,1330
