,x,y,particle_id,frame_number
419,277.28,294.28,419.0,601
666,296.4166666666667,294.27777777777777,419.0,602
927,314.2647058823529,294.6764705882353,419.0,603
1159,315.9583333333333,291.625,419.0,604
1414,328.07246376811594,292.28985507246375,419.0,605
1585,209.0,272.90909090909093,1584.0,606
1671,385.5342465753425,295.0,1670.0,606
1838,227.97058823529412,272.9117647058824,1584.0,607
1922,396.92857142857144,294.92857142857144,1670.0,607
2118,225.35,278.85,1584.0,608
2177,403.34615384615387,294.61538461538464,1670.0,608
2373,245.41558441558442,278.84415584415586,1584.0,609
2428,421.7352941176471,294.55882352941177,1670.0,609
2628,264.39130434782606,278.8985507246377,1584.0,610
2683,438.8,294.3333333333333,1670.0,610
2712,784.4406779661017,302.93220338983053,2710.0,610
2977,785.6666666666666,306.75,2710.0,611
2838,875.1176470588235,270.4117647058824,2836.0,611
2909,652.7846153846153,287.75384615384615,2907.0,611
3236,778.8709677419355,304.51612903225805,2710.0,612
3110,867.6551724137931,274.3103448275862,2836.0,612
3190,651.9285714285714,291.2857142857143,2907.0,612
3136,701.5,276.0,3134.0,612
3495,776.5,302.11764705882354,2710.0,613
3414,868.3090909090909,279.74545454545455,2836.0,613
3457,654.7586206896551,291.0,2907.0,613
3385,701.7575757575758,273.8333333333333,3134.0,613
3774,770.6307692307693,302.2307692307692,2710.0,614
3673,857.5409836065573,276.8524590163934,2836.0,614
3748,647.6451612903226,295.48387096774195,2907.0,614
3655,699.1851851851852,274.55555555555554,3134.0,614
3947,850.3809523809524,275.57142857142856,2836.0,615
4025,643.4186046511628,295.6046511627907,2907.0,615
3931,688.5,273.0,3134.0,615
4222,682.1428571428571,275.6190476190476,3134.0,616
4462,674.5,272.0,3134.0,617
4409,945.1509433962265,256.52830188679246,4405.0,617
4731,668.5416666666666,271.0416666666667,3134.0,618
4668,933.3913043478261,255.04347826086956,4405.0,618
4681,961.36,256.62,4677.0,618
4953,926.7692307692307,257.8076923076923,4405.0,619
4933,952.4466019417475,256.66990291262135,4677.0,619
5023,621.3541666666666,275.0625,5019.0,619
5228,921.8837209302326,256.5348837209302,4405.0,620
5237,943.5,258.5,4677.0,620
5289,617.1176470588235,272.4117647058824,5019.0,620
5355,1286.44,287.08,5351.0,620
5498,919.170731707317,256.9024390243902,4405.0,621
5499,937.8913043478261,257.17391304347825,4677.0,621
5550,609.8148148148148,272.1111111111111,5019.0,621
5624,1301.3809523809523,287.42857142857144,5351.0,621
5531,1524.6363636363637,262.09090909090907,5527.0,621
5776,934.2692307692307,257.4423076923077,4677.0,622
5816,607.7049180327868,270.4918032786885,5019.0,622
5906,1316.4761904761904,288.3809523809524,5351.0,622
5804,1540.3076923076924,262.0,5527.0,622
6116,606.9444444444445,273.8888888888889,5019.0,623
6164,1318.576923076923,284.34615384615387,5351.0,623
6085,1543.7,262.35,5527.0,623
6125,1307.56,274.68,6120.0,623
6446,1330.8936170212767,284.29787234042556,5351.0,624
