,x,y,particle_id,frame_number
1,1291.8181818181818,10.181818181818182,1.0,600
3,1005.1875,23.125,3.0,600
11,1288.111111111111,58.333333333333336,11.0,600
14,1031.875,60.875,14.0,600
15,948.0,64.5,15.0,600
23,158.11111111111111,131.27777777777777,23.0,600
45,1249.1333333333334,178.46666666666667,45.0,600
48,473.0,189.71428571428572,48.0,600
51,453.0,200.0,51.0,600
321,774.0,344.0,321.0,600
329,1226.5,362.5,329.0,600
331,808.3333333333334,366.3333333333333,331.0,600
335,1270.0833333333333,388.6666666666667,335.0,600
338,177.2,397.0,338.0,600
342,1225.0,407.0,342.0,600
344,1295.2857142857142,417.0,344.0,600
345,166.5,420.0,345.0,600
348,213.0,435.5,348.0,600
352,85.0,463.5,352.0,600
354,1232.875,467.875,354.0,600
355,1115.3333333333333,471.8888888888889,355.0,600
356,1180.923076923077,475.6923076923077,356.0,600
357,1363.842105263158,476.1578947368421,357.0,600
359,1053.0,478.8333333333333,359.0,600
360,25.333333333333332,479.6666666666667,360.0,600
370,166.8,513.0,370.0,600
372,1035.7222222222222,515.1111111111111,372.0,600
373,67.5,519.0,373.0,600
379,113.0,526.0,379.0,600
382,1282.7142857142858,537.0,382.0,600
383,110.05263157894737,540.1578947368421,383.0,600
389,663.875,555.125,389.0,600
395,435.5,595.8,395.0,600
399,359.0,619.2,399.0,600
400,114.0,620.8333333333334,400.0,600
402,557.3333333333334,627.75,402.0,600
405,1243.6,632.8,405.0,600
413,1261.0,655.0,413.0,600
417,1523.3333333333333,664.7333333333333,417.0,600
425,919.125,692.875,425.0,600
427,638.8888888888889,699.3333333333334,427.0,600
429,483.1578947368421,703.8421052631579,429.0,600
431,1567.125,710.875,431.0,600
432,882.0,716.7142857142857,432.0,600
435,444.875,724.125,435.0,600
437,1557.0,735.2857142857143,437.0,600
438,4.5,739.8,438.0,600
439,480.8,748.0,439.0,600
442,1292.1818181818182,10.181818181818182,1.0,601
444,1005.1875,23.125,3.0,601
454,1287.8,58.4,11.0,601
455,1031.875,60.875,14.0,601
456,948.0,64.5,15.0,601
462,158.11111111111111,131.27777777777777,23.0,601
482,1249.1333333333334,178.46666666666667,45.0,601
485,473.25,190.0,48.0,601
488,452.8,200.0,51.0,601
770,774.0,344.0,321.0,601
778,1226.5,362.5,329.0,601
780,807.8,366.0,331.0,601
785,1270.2,389.0,335.0,601
787,176.92307692307693,396.6923076923077,338.0,601
791,1225.0,406.5,342.0,601
793,1295.5,416.8,344.0,601
794,166.28571428571428,420.0,345.0,601
798,212.92307692307693,435.6923076923077,348.0,601
802,84.75,464.0625,352.0,601
804,1233.0,467.7142857142857,354.0,601
805,1115.6363636363637,471.90909090909093,355.0,601
807,1181.0,476.0,356.0,601
806,1363.9444444444443,476.22222222222223,357.0,601
808,1052.7857142857142,478.64285714285717,359.0,601
809,24.875,479.875,360.0,601
818,167.2,513.0,370.0,601
819,1035.8823529411766,515.4117647058823,372.0,601
820,67.5,518.5,373.0,601
823,113.28571428571429,526.0,379.0,601
826,1282.7142857142858,537.0,382.0,601
827,110.05263157894737,540.1578947368421,383.0,601
833,663.6363636363636,555.4545454545455,389.0,601
839,435.8,595.6,395.0,601
843,359.0,619.5,399.0,601
844,114.0,621.1666666666666,400.0,601
847,557.3636363636364,627.9090909090909,402.0,601
849,1243.5,633.0,405.0,601
858,1261.0,655.0,413.0,601
864,1523.25,664.625,417.0,601
872,919.0,692.7142857142857,425.0,601
875,638.8,699.5,427.0,601
877,483.1578947368421,703.8421052631579,429.0,601
879,1566.8,711.0,431.0,601
880,882.4,716.8,432.0,601
885,445.125,724.875,435.0,601
886,1557.0,735.2857142857143,437.0,601
888,4.5,739.8,438.0,601
889,480.6666666666667,747.75,439.0,601
447,308.0,28.5,447.0,601
453,64.92307692307692,59.69230769230769,453.0,601
463,367.875,130.125,463.0,601
481,387.6363636363636,174.0909090909091,481.0,601
483,347.8181818181818,183.1818181818182,483.0,601
777,488.0,358.2857142857143,777.0,601
786,237.5,394.5,786.0,601
810,339.3333333333333,490.25,810.0,601
814,622.5,494.5,814.0,601
815,494.875,498.125,815.0,601
824,299.0,531.0,824.0,601
825,483.6666666666667,531.6666666666666,825.0,601
829,446.0,543.0,829.0,601
831,1276.0,549.5,831.0,601
860,343.6875,660.875,860.0,601
863,1283.5,663.0,863.0,601
870,258.3333333333333,687.8888888888889,870.0,601
882,387.0,720.7894736842105,882.0,601
883,238.75,723.3333333333334,883.0,601
892,1292.2857142857142,10.0,1.0,602
893,1004.8,23.2,3.0,602
902,1287.5,58.5,11.0,602
903,1032.0,60.714285714285715,14.0,602
904,948.0,64.5,15.0,602
912,158.11111111111111,131.27777777777777,23.0,602
930,1249.0,178.5,45.0,602
933,473.125,189.875,48.0,602
936,452.9230769230769,199.69230769230768,51.0,602
1212,774.0,344.0,321.0,602
1220,1226.3846153846155,362.38461538461536,329.0,602
1222,808.0,366.0,331.0,602
1226,1270.3333333333333,388.8888888888889,335.0,602
1229,176.92307692307693,396.6923076923077,338.0,602
1232,1225.5,407.0,342.0,602
1236,1295.3333333333333,416.8888888888889,344.0,602
1237,166.0,420.0,345.0,602
1238,212.92857142857142,435.85714285714283,348.0,602
1244,85.13333333333334,463.53333333333336,352.0,602
1247,1232.875,467.875,354.0,602
1248,1115.5,471.8,355.0,602
1250,1180.8,476.0,356.0,602
1249,1364.0526315789473,476.1578947368421,357.0,602
1253,1052.6666666666667,478.75,359.0,602
1255,25.0,479.7142857142857,360.0,602
1265,166.8,513.0,370.0,602
1266,1036.0,515.5,372.0,602
1268,67.5,519.0,373.0,602
1270,113.2,526.0,379.0,602
1274,1282.7142857142858,537.0,382.0,602
1275,110.05263157894737,540.1578947368421,383.0,602
1280,663.8888888888889,555.3333333333334,389.0,602
1286,435.2,596.0,395.0,602
1289,358.875,619.125,399.0,602
1290,113.92307692307692,620.6923076923077,400.0,602
1291,557.0,627.7142857142857,402.0,602
1293,1243.7142857142858,633.0,405.0,602
1300,1261.0,655.0,413.0,602
1305,1523.3125,664.875,417.0,602
1313,919.0,692.5,425.0,602
1319,639.0,699.25,427.0,602
1320,483.1578947368421,703.8421052631579,429.0,602
1322,1566.8,711.0,431.0,602
1323,882.5,717.0,432.0,602
1326,445.0,724.5,435.0,602
1327,1557.0,735.0,437.0,602
1329,4.5,740.0,438.0,602
1330,480.6363636363636,747.9090909090909,439.0,602
894,308.0,28.5,447.0,602
901,64.8,59.8,453.0,602
913,368.0,130.28571428571428,463.0,602
929,387.8,174.0,481.0,602
931,347.8,183.0,483.0,602
1219,488.25,358.0,777.0,602
1228,237.5,394.5,786.0,602
1256,339.6666666666667,489.75,810.0,602
1260,622.5,494.0,814.0,602
1262,494.875,497.875,815.0,602
1272,299.0,531.0,824.0,602
1273,483.125,531.875,825.0,602
1277,446.3333333333333,543.1111111111111,829.0,602
1279,1275.875,549.875,831.0,602
1301,343.6875,660.875,860.0,602
1304,1283.5,663.0,863.0,602
1312,258.6363636363636,687.9090909090909,870.0,602
1324,387.0,720.7894736842105,882.0,602
1325,239.0,723.0,883.0,602
899,1379.3333333333333,42.266666666666666,899.0,602
917,1390.125,138.875,917.0,602
937,1422.125,202.875,937.0,602
941,335.0,217.0,941.0,602
946,1398.0,225.0,946.0,602
964,1010.6944444444445,258.05555555555554,964.0,602
1333,1292.5,10.5,1.0,603
1336,1005.0,23.0,3.0,603
1344,1288.0,58.5,11.0,603
1346,1032.3333333333333,60.666666666666664,14.0,603
1347,947.75,64.375,15.0,603
1358,158.11764705882354,131.41176470588235,23.0,603
1377,1249.1333333333334,178.46666666666667,45.0,603
1380,473.0,189.71428571428572,48.0,603
1383,452.9230769230769,199.69230769230768,51.0,603
1655,774.2857142857143,344.0,321.0,603
1664,1226.4545454545455,362.3636363636364,329.0,603
1666,807.8333333333334,366.1666666666667,331.0,603
1670,1270.5,388.5,335.0,603
