,x,y,particle_id,frame_number
38,388.3529411764706,256.9901960784314,38.0,80
263,379.87301587301585,257.1111111111111,38.0,81
239,449.27906976744185,254.11627906976744,239.0,81
323,1332.6923076923076,272.0,323.0,81
325,361.40816326530614,274.2857142857143,325.0,81
345,458.1333333333333,276.4888888888889,345.0,81
350,426.41379310344826,277.44827586206895,350.0,81
355,484.575,279.725,355.0,81
361,502.1818181818182,281.2181818181818,361.0,81
384,1415.7777777777778,287.5,384.0,81
417,1597.0,295.0,417.0,81
487,365.91525423728814,256.93220338983053,38.0,82
461,442.3070175438597,253.80701754385964,239.0,82
564,1337.5,275.5,323.0,82
551,348.9166666666667,274.3541666666667,325.0,82
568,445.0,276.468085106383,345.0,82
575,411.8888888888889,278.77777777777777,350.0,82
583,471.9024390243902,280.5609756097561,355.0,82
584,489.4423076923077,281.15384615384613,361.0,82
613,1422.15,287.8,384.0,82
639,1597.5,295.0,417.0,82
455,466.07142857142856,251.07142857142858,455.0,82
517,1546.6666666666667,262.54545454545456,517.0,82
544,524.9038461538462,272.88461538461536,544.0,82
560,1494.1290322580646,274.48387096774195,560.0,82
571,1476.9642857142858,276.2857142857143,571.0,82
595,521.0,285.5,595.0,82
629,1484.5,292.0,629.0,82
718,352.271186440678,257.3898305084746,38.0,83
689,426.7864077669903,253.70873786407768,239.0,83
795,1322.6521739130435,275.3478260869565,323.0,83
788,336.24528301886795,274.9056603773585,325.0,83
800,431.8780487804878,276.4634146341463,345.0,83
808,400.48387096774195,279.16129032258067,350.0,83
813,458.7857142857143,281.42857142857144,355.0,83
811,476.7241379310345,281.0689655172414,361.0,83
838,1409.4615384615386,287.2692307692308,384.0,83
865,1587.2727272727273,294.5,417.0,83
683,450.5882352941176,250.3235294117647,455.0,83
746,1534.7317073170732,262.7317073170732,517.0,83
775,511.81481481481484,272.9259259259259,544.0,83
786,1481.1764705882354,274.38235294117646,560.0,83
803,1463.923076923077,276.2692307692308,571.0,83
828,505.9756097560976,285.8292682926829,595.0,83
856,1469.3548387096773,291.38709677419354,629.0,83
942,338.58181818181816,257.4,38.0,84
916,412.6842105263158,253.93859649122808,239.0,84
1022,1327.8,276.04,323.0,84
1011,323.11538461538464,275.1923076923077,325.0,84
1019,417.4761904761905,275.85714285714283,345.0,84
1033,387.1818181818182,279.0,350.0,84
1040,445.1219512195122,281.4634146341463,355.0,84
1038,463.66037735849056,281.3018867924528,361.0,84
1073,1402.25,287.25,384.0,84
1088,1575.375,293.875,417.0,84
911,436.0,250.57575757575756,455.0,84
966,1520.4074074074074,261.6296296296296,517.0,84
1000,498.25531914893617,272.51063829787233,544.0,84
1017,1467.6285714285714,274.48571428571427,560.0,84
1023,1449.5172413793102,275.6551724137931,571.0,84
1055,493.7567567567568,285.72972972972974,595.0,84
1079,1456.0588235294117,291.19607843137254,629.0,84
958,1310.1351351351352,260.2972972972973,954.0,84
